date,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
30/04/2000,3,4,2,1,3,3,3,2
01/05/2000,2,4,4,2,3,3,3,3
02/05/2000,3,2,3,4,4,3,3,4
03/05/2000,3,3,4,2,2,4,4,3
04/05/2000,2,1,2,3,3,3,2,2
05/05/2000,3,2,4,3,3,3,3,3
06/05/2000,3,3,3,2,3,2,2,2
07/05/2000,2,3,1,1,2,2,2,1
08/05/2000,2,0,1,2,2,2,1,3
09/05/2000,2,3,2,3,3,3,3,3
10/05/2000,3,2,1,2,2,2,2,2
11/05/2000,2,2,3,1,2,2,2,2
12/05/2000,3,4,5,4,3,2,4,4
13/05/2000,4,3,2,3,3,3,3,2
14/05/2000,4,4,2,2,3,2,3,3
15/05/2000,4,3,3,4,3,2,2,3
16/05/2000,3,4,3,4,3,3,3,3
17/05/2000,5,5,5,2,2,2,3,3
18/05/2000,3,3,3,2,2,2,3,2
19/05/2000,2,3,2,3,3,3,3,2
20/05/2000,2,2,1,2,2,2,2,2
21/05/2000,2,3,2,2,2,2,2,2
22/05/2000,2,3,2,3,3,2,3,2
23/05/2000,2,3,3,3,2,3,5,6
24/05/2000,7,7,6,6,4,4,5,4
25/05/2000,5,5,5,5,3,4,3,3
26/05/2000,3,4,5,5,3,3,3,2
27/05/2000,3,3,2,2,3,3,3,3
28/05/2000,2,3,3,2,3,3,3,3
29/05/2000,4,4,3,3,3,4,5,5
30/05/2000,4,2,4,4,4,3,3,3
31/05/2000,3,4,2,2,2,3,2,3
01/06/2000,3,3,3,2,2,3,2,3
02/06/2000,2,3,3,2,2,2,3,3
03/06/2000,3,2,2,3,3,3,3,3
04/06/2000,2,2,3,1,2,3,4,4
05/06/2000,4,3,4,4,5,3,4,4
06/06/2000,4,3,3,4,3,4,3,2
07/06/2000,2,2,4,3,3,3,3,4
08/06/2000,3,4,4,7,7,6,5,4
09/06/2000,2,2,2,2,3,3,2,3
10/06/2000,4,3,5,5,4,3,3,3
11/06/2000,3,3,3,6,5,5,5,3
12/06/2000,3,3,3,2,3,4,3,3
13/06/2000,3,3,4,4,4,3,3,3
14/06/2000,4,2,4,3,4,4,5,5
15/06/2000,5,2,3,3,3,4,3,3
16/06/2000,3,1,1,2,2,3,3,3
17/06/2000,3,1,2,2,3,3,3,3
18/06/2000,2,1,2,2,3,3,4,3
19/06/2000,3,3,1,2,2,3,3,2
20/06/2000,2,2,2,3,3,3,3,2
21/06/2000,2,1,1,2,2,3,3,3
22/06/2000,3,2,2,3,3,2,3,3
23/06/2000,3,4,2,2,4,5,5,4
24/06/2000,5,4,5,3,1,2,2,2
25/06/2000,3,1,1,1,2,2,3,4
26/06/2000,4,4,4,6,5,3,5,4
27/06/2000,4,3,3,3,3,3,4,4
28/06/2000,4,4,2,3,2,3,2,4
29/06/2000,4,2,4,2,2,2,3,3
30/06/2000,2,1,0,3,2,2,2,2
01/07/2000,3,2,3,2,2,2,3,2
02/07/2000,2,1,1,2,2,2,2,2
03/07/2000,2,2,2,3,3,3,3,3
04/07/2000,3,2,1,2,3,3,3,2
05/07/2000,2,1,3,4,3,4,2,1
06/07/2000,2,2,2,2,2,2,3,2
07/07/2000,2,2,1,3,3,3,2,3
08/07/2000,2,2,1,2,2,3,2,1
09/07/2000,1,1,2,2,2,2,2,3
10/07/2000,2,3,4,3,4,4,4,3
11/07/2000,4,5,4,5,5,4,4,5
12/07/2000,4,3,2,3,2,3,2,3
